Top 150 Most Frequent Structural Pattern, Count
PERSON → WORKED_AT → ORGANISATION, 9
PERSON → PARTICIPATED_IN → EVENT_PANEL, 5
PERSON → IS_A → ROLE, 4
EVENT → WAS_DESCRIBED_AS → DESCRIPTION, 4
PROCESS → DESCRIBED_AS → ATTRIBUTE, 4
ORGANISATION → PROHIBITED → POLICY, 4
PERSON → HAD_SKILL → SKILL, 4
PERSON → CREATED → ARTWORK, 3
PROJECT → HAS_START_DATE → TIME, 3
PERSON → WORKED_ON → PROJECT, 3
PROCESS → HAS_ATTRIBUTE → ATTRIBUTE, 3
PERSON → COMMUNICATED_WITH → PERSON, 3
PERSON → USES_TOOL → TECHNOLOGY, 3
ACTIVITY → IS_AIDED_BY → SKILL, 3
LITERARY_GENRE → IS_A_FORM_OF → LITERARY_FORM, 3
SOFTWARE → IS_A → SOFTWARE_CATEGORY, 3
PERSON → CHALLENGED → CONCEPT, 3
ORGANISATION → IS_LOCATED_IN → LOCATION, 2
PERSON → WORKED_FOR → ORGANISATION, 2
PERSON → PERFORMED_TASK → TASK, 2
OBJECT → DESCRIBED_AS → ATTRIBUTE, 2
PERSON → MOVED_TO → PLACE, 2
PERSON → WORKED_WITH → PERSON, 2
PERSON → COLLABORATED_WITH → PERSON, 2
PERSON → IS_A → PROFESSION, 2
PERSON → LACKED → QUALIFICATION, 2
PERSON → CREATED → CREATIVE_WORK, 2
PERSON → CREATED → SOFTWARE, 2
ORGANISATION → HIRED → PERSON_TYPE, 2
ARTWORK → HAD_ATTRIBUTE → ATTRIBUTE, 2
PERSON → LACKED_ACCESS_TO → TECHNOLOGY, 2
PROJECT → DESCRIBED_AS → CONCEPT, 2
EVENT → OCCURRED_IN_YEAR → TIME, 2
PERSON → HELD_ROLE → ROLE, 2
PERSON → HAD_SKILL_IN → SKILL, 2
PERSON → HAS_SKILL → SKILL, 2
PERSON → HAD_ROLE → ROLE, 2
PERSON → HAS_SKILL → CONCEPT, 2
ORGANISATION → LACKED_RESOURCE → RESOURCE, 2
PERSON → USED_LANGUAGE → PROGRAMMING_LANGUAGE, 2
PERSON → WAS_FOUNDING_DIRECTOR_OF → ORGANISATION, 2
ORGANISATION → HAD_ATTRIBUTE → ATTRIBUTE, 2
PERSON → CREATED → WORK_OF_ART, 2
PERSON → PUBLISHED → WORK_OF_ART, 2
ISSUE → IS_AN_EXAMPLE_OF → ISSUE, 2
PERSON → HAS_WORK_METHOD → METHODOLOGY, 2
PERSON → USED_TOOL → TECHNOLOGY, 2
PERSON → BELIEVES → BELIEF, 2
APPLICATION → IS_CENTRAL_TO → FIELD, 2
PERSON → ATTENDED → EVENT, 2
PERSON → TALKED_WITH → PERSON, 2
ACTIVITY → REQUIRES → CONCEPT, 2
ROLE → HAD_ABILITY → CAPABILITY, 2
LITERARY_GENRE → IS_A → ART_FORM_TYPE, 2
LITERARY_GENRE → IS_FAMILIAR_TO → GROUP, 2
PERSON → IS_EXAMPLE_OF → ROLE_CONCEPT, 2
JOB_TYPE → ARE_SUITABLE_FOR → PROFESSION, 2
ORGANISATION_TYPE → DESCRIBED_AS → ATTRIBUTE, 2
PERSON → GRADUATED_WITH → ACADEMIC_DEGREE, 1
PERSON → HAD_FIRST_JOB_AT → ORGANISATION, 1
PERSON → WORKED_FOR → CATALOG, 1
CATALOG → IS_PART_OF → ORGANISATION, 1
CATALOG → CONTAINS → COLLECTION, 1
CATALOG → CONTAINS → DATA, 1
CATALOG → WAS_NOT_COMPUTERISED_IN → TIME, 1
ORGANISATION → HIRED → PERSON, 1
PERSON → WAS_HIRED_IN → TIME, 1
PERSON → WAS_HIRED_TO → TASK, 1
PERSON → SAW_NEED_FOR → CONCEPT, 1
CATALOG → WAS_LOCATED_IN → LOCATION, 1
LOCATION → DESCRIBED_AS → DESCRIPTION, 1
PERSON → USED_TOOL → OBJECT, 1
CATALOG → INFLUENCED → CONCEPT, 1
PERSON → TRAVELLED_IN → LOCATION, 1
PERSON → PERFORMED_ACTIVITY → ACTIVITY, 1
ORGANISATION → HAD_CONTRACT_WITH → ORGANISATION, 1
PERSON → BEGAN_WORK_IN → TIME, 1
ORGANISATION → WAS_COMPUTERISING → DEPARTMENT, 1
PROJECT → IS_A → CONCEPT, 1
PERSON → HAD_TASK → TASK, 1
ARTIFACT → PART_OF → COLLECTION, 1
PERSON_ROLE → OFFERED_TO_PERFORM → TASK, 1
PERSON → DID_NOT_SEE → OBJECT, 1
PERSON → CREATED → ARTIFACT, 1
PERSON → SUBMITTED_VIA_SLOT → ARTIFACT, 1
OBJECT → BELIEVED_TO_ACCESS → CONCEPTUAL_OBJECT, 1
ORGANISATION → WAS_NOT_LOCATED_NEAR → LOCATION, 1
ARTIFACT → SPECULATED_TO_BE_TRANSPORTED_BY → VEHICLE, 1
ARTIFACT → WAS_SENT_TO → OBJECT, 1
PROCESS → WAS_UNCERTAIN_IF_WAS → CONCEPT, 1
PROCESS → SPECULATED_TO_BE → CONCEPT, 1
ARTIFACT → BELIEVED_NOT_TO_BE → ARTIFACT, 1
OBJECT → HAD_ISSUES → ISSUE, 1
TECHNOLOGY → HAD_ATTRIBUTE → ATTRIBUTE, 1
TECHNIQUE → WAS_A → CONCEPT, 1
PERSON → BECAME_SKILLED_AT → SKILL, 1
PERSON → STRUGGLED_WITH → TECHNOLOGY, 1
PERSON → ENJOYED → ACTIVITY, 1
ACTIVITY → IS_A → CONCEPT, 1
PERSON → WAS_DRAFTED → EVENT, 1
PERSON → WAS_SENT_TO → PLACE, 1
PERSON → MARRIED → PERSON, 1
PERSON → LIVED_IN → PLACE, 1
PERSON → COMMUTED_BY → TRANSPORT, 1
PERSON → RETURNED_TO → PLACE, 1
GROUP → HAD_DRESS_CODE_RESTRICTION → ACTIVITY, 1
ORGANISATION → IS_NOW_CALLED → ORGANISATION, 1
PERSON → APPLIED_FOR → JOB_ROLE, 1
